vm,vc,ts,sp,id,hot,rad,,,
3,14.07482215,483.5,10,25,28.7523699,27.99824343,,,
3,14.08203486,483.6,10,25,28.75114043,27.99686154,,,
3,14.08917798,483.7,10,25,28.74991073,27.99548097,,,
3,14.09625216,483.8,10,25,28.74868082,27.99410171,,,
3,14.10325803,483.9,10,25,28.74745071,27.99272376,,,
3,14.11019623,484,10,25,28.7462204,27.99134713,,,
3,14.1170674,484.1,10,25,28.74498992,27.9899718,,,
3,14.12387214,484.2,10,25,28.74375926,27.98859778,,,
3,14.13061108,484.3,10,25,28.74252845,27.98722505,,,
3,14.13728484,484.4,10,25,28.74129749,27.98585363,,,
3,14.14389401,484.5,10,25,28.74006639,27.98448349,,,
3,14.15043919,484.6,10,25,28.73883517,27.98311465,,,
3,14.15692098,484.7,10,25,28.73760382,27.9817471,,,
3,14.16333997,484.8,10,25,28.73637237,27.98038083,,,
3,14.16969673,484.9,10,25,28.73514083,27.97901585,,,
3,14.17599186,485,10,25,28.73390919,27.97765215,,,
3,14.18222592,485.1,10,25,28.73267748,27.97628972,,,
3,14.18839947,485.2,10,25,28.73144571,27.97492856,,,
3,14.19451309,485.3,10,25,28.73021387,27.97356868,,,
3,14.20056732,485.4,10,25,28.72898199,27.97221007,,,
3,14.20656272,485.5,10,25,28.72775007,27.97085272,,,
3,14.21249983,485.6,10,25,28.72651811,27.96949663,,,
3,14.2183792,485.7,10,25,28.72528614,27.96814181,,,
3,14.22420136,485.8,10,25,28.72405416,27.96678824,,,
3,14.22996685,485.9,10,25,28.72282218,27.96543592,,,
3,14.23567619,486,10,25,28.7215902,27.96408486,,,
3,14.2413299,486.1,10,25,28.72035824,27.96273504,,,
3,14.24692849,486.2,10,25,28.71912631,27.96138648,,,
3,14.25247249,486.3,10,25,28.7178944,27.96003915,,,
3,14.2579624,486.4,10,25,28.71666255,27.95869307,,,
3,14.26339872,486.5,10,25,28.71543074,27.95734822,,,
3,14.26878194,486.6,10,25,28.71419899,27.95600461,,,
3,14.27411257,486.7,10,25,28.71296731,27.95466224,,,
3,14.27939109,486.8,10,25,28.71173571,27.95332109,,,
3,14.28461799,486.9,10,25,28.71050419,27.95198117,,,
3,14.28979373,487,10,25,28.70927276,27.95064248,,,
3,14.29491881,487.1,10,25,28.70804143,27.94930501,,,
3,14.29999369,487.2,10,25,28.70681021,27.94796876,,,
